Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown,
Realismo Capitalista e cancellazione del futuro,"La diagnosi del presente come una condizione ideologica pervasiva in cui ogni alternativa al capitalismo è stata preventivamente preclusa, generando una ""lenta cancellazione del futuro"".",Mark Fisher,Realismo capitalista,24-30,"NERO, Roma 2018",Introduzione,,"### Realismo Capitalista e cancellazione del futuro<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Mark Fisher]]<br><br>**Concetti Chiave:** Realismo Capitalista, Ideologia, Futuro<br><br>La diagnosi del presente come una condizione ideologica pervasiva in cui ogni alternativa al capitalismo è stata preventivamente preclusa, generando una ""lenta cancellazione del futuro"". Questa atmosfera culturale appiattisce il tempo su un presente continuo e naturalizza la logica neoliberale come ineluttabile [cite: 311].<br><br>> *è più facile immaginare la fine del mondo che la fine del capitalismo*[cite: 301, 312].<br><br>**Fonte:** Realismo capitalista, pp. 24-30"
Infocrazia e psicopolitica,"L'analisi del potere nella società contemporanea come ""infocrazia"", un regime psicopolitico basato non sulla repressione ma sulla seduzione all'auto-esposizione e sulla trasparenza. Questo sistema produce una ""comunicazione senza comunità"" che atrofizza il pensiero critico.",Byung-Chul Han,Infocrazia. Le nostre vite manipolate dalla rete,"5-11, 28-35","Einaudi, 2023",Introduzione,,"### Infocrazia e psicopolitica<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Byung-Chul Han]]<br><br>**Concetti Chiave:** Infocrazia, Psicopolitica, Sorveglianza, Comunicazione<br><br>L'analisi del potere nella società contemporanea come ""infocrazia"", un regime psicopolitico basato non sulla repressione ma sulla seduzione all'auto-esposizione e sulla trasparenza. Questo sistema produce una ""comunicazione senza comunità"" che atrofizza il pensiero critico.<br><br>> *Oggi crediamo di non essere soggetti sottomessi, bensì progetti liberi che costantemente si riprogettano e si reinventano. Passiamo dalla modalità del dovere a quella del potere. [...] La tecnica di potere neoliberale non è proibitiva, impositiva o prescrittiva, bensì seduttiva: seduce, lusinga*[cite: 137, 138].<br><br>**Fonte:** Infocrazia. Le nostre vite manipolate dalla rete, pp. 5-11, 28-35"
Ipermodernità e iper-individualismo,"La critica all'ipermodernità come epoca caratterizzata dall'eccesso, dal consumo e da un iper-individualismo che dissolve i legami sociali tradizionali in favore di una soggettività narcisistica.",Gilles Lipovetsky & Sébastien Charles,Les Temps hypermodernes,55-65,"Grasset, 2004",Introduzione,,"### Ipermodernità e iper-individualismo<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Gilles Lipovetsky]], [[Sébastien Charles]]<br><br>**Concetti Chiave:** Ipermodernità, Iperindividualismo, Consumo, Soggettività<br><br>La critica all'ipermodernità come epoca caratterizzata dall'eccesso, dal consumo e da un iper-individualismo che dissolve i legami sociali tradizionali in favore di una soggettività narcisistica .<br><br>> *L’individu hypermoderne est celui qui est de moins en moins dirigé par les grandes institutions collectives et de plus en plus «autogéré» sur la base de choix à la carte*[cite: 140].<br><br>**Fonte:** Les Temps hypermodernes, pp. 55-65"
"La ""gabbia d'acciaio"" della razionalità moderna","L'idea della razionalità moderna e dello ""spirito del capitalismo"" come una ""gabbia d'acciaio"" che imprigiona gli individui in una logica di efficienza, calcolo e lavoro ascetico, svuotando l'esistenza di significati ulteriori.",Max Weber,L'etica protestante e lo spirito del capitalismo,,"Rizzoli, 2012",Introduzione,,"### La ""gabbia d'acciaio"" della razionalità moderna<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Max Weber]]<br><br>**Concetti Chiave:** Gabbia d'acciaio, Razionalità, Spirito del Capitalismo<br><br>L'idea della razionalità moderna e dello ""spirito del capitalismo"" come una ""gabbia d'acciaio"" che imprigiona gli individui in una logica di efficienza, calcolo e lavoro ascetico, svuotando l'esistenza di significati ulteriori.<br><br>> *Il Puritano volle essere un professionista, noi dobbiamo esserlo. Infatti, dal momento in cui l'ascesi passò dalle celle dei monaci alla vita professionale e cominciò a dominare sulla moralità laica, essa prese a contribuire con la sua parte alla costruzione di quel potente cosmo dell'ordinamento economico moderno*[cite: 20, 21].<br><br>**Fonte:** L'etica protestante e lo spirito del capitalismo"
Biopotere come gestione della vita,"La concettualizzazione del potere come ""biopotere"", una forma di potere che gestisce, ottimizza e amministra la vita delle popolazioni per renderla produttiva e controllabile.",Michel Foucault,Sorvegliare e punire: Nascita della prigione,195-227,"Einaudi, 1976",Introduzione,,"### Biopotere come gestione della vita<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Michel Foucault]]<br><br>**Concetti Chiave:** Biopotere, Potere Disciplinare, Sorveglianza<br><br>Il ""biopotere"" è una forma di potere che non si limita a vietare, ma gestisce, ottimizza e amministra la vita delle popolazioni per renderla produttiva e controllabile.<br><br>> *Di qui, l'effetto principale del Panopticon: indurre nel detenuto uno stato cosciente e permanente di visibilità che assicura il funzionamento automatico del potere. Fare in modo che la sorveglianza sia permanente nei suoi effetti, anche se è discontinua nella sua azione*[cite: 142, 143].<br><br>**Fonte:** Sorvegliare e punire: Nascita della prigione, pp. 195-227"
Pratica-come-Ricerca (PaR),"Il concetto di ""pratica-come-ricerca"" (PaR) è una metodologia in cui la pratica artistica non è un oggetto di studio, ma un modo di produrre conoscenza. Il ricercatore è un ""praticante immerso"" (embedded practitioner).",Robin Nelson,Practice as Research in the Arts and Beyond,"11, 43-46","Palgrave Macmillan, 2022",Introduzione,,"### Pratica-come-Ricerca (PaR)<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Robin Nelson]]<br><br>**Concetti Chiave:** Pratica-come-Ricerca, Metodologia, Ricercatore Immerso<br><br>Nella metodologia della ""pratica-come-ricerca"" (PaR), la pratica artistica non è un oggetto di studio, ma un modo di produrre conoscenza. In questo quadro, il ricercatore è un ""praticante immerso"" (embedded practitioner) .<br><br>> *As Maggie Nelson suggests, theory can be ‘made’ and not only ‘said’*[cite: 86].<br><br>**Fonte:** Practice as Research in the Arts and Beyond, pp. 11, 43-46"
Compost come soggettività non purista,"La proposta di ""compost"" come pratica e metafora per una soggettività non purista, che si costituisce attraverso assemblaggi impuri e relazioni multispecie.",Donna J. Haraway,Chthulucene: Sopravvivere su un pianeta infetto,147,"NERO, Roma 2019",Introduzione,,"### Compost come soggettività non purista<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Donna J. Haraway]]<br><br>**Concetti Chiave:** Compost, Soggettività, Umanesimo, Multispecie<br><br>Il ""compost"" è una pratica e metafora per una soggettività non purista, costituita da assemblaggi impuri e relazioni multispecie, in alternativa all'umanesimo tradizionale.<br><br>> *Noi siamo humus, non Uomo. Siamo compost, non postumani*[cite: 333, 349].<br><br>**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 147"
Materia Vibrante e Agency degli Assemblaggi,"La concezione della materia come entità attiva e non inerte, una ""materia vibrante"" (vibrant matter) dotata di una propria agentività (agency) che emerge dagli ""assemblaggi"" (assemblages) tra agenti umani e non-umani.",Jane Bennett,Vibrant Matter: A Political Ecology of Things,20-38,"Duke University Press, 2010",Introduzione,"### Materia Vibrante e Agency degli Assemblaggi<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Jane Bennett]]<br><br>**Concetti Chiave:** Materia Vibrante, Agency, Assemblaggi, Neo-materialismo<br><br>La materia non è inerte, ma una ""materia vibrante"" dotata di una propria agentività (agency). Questa emerge dagli ""assemblaggi"" (assemblages) tra agenti umani e non-umani .<br><br>> *By 'vitality' I mean the capacity of things—edibles, commodities, storms, metals—not only to impede or block the will and designs of humans but also to act as quasi agents or forces with trajectories, propensities, or tendencies of their own*[cite: 263].<br><br>**Fonte:** Vibrant Matter: A Political Ecology of Things, pp. 20-38",
Simpoiesi (creare-con),"La ""simpoiesi"" (creare-con) come processo collettivo di produzione in cui nessun sistema si crea da solo (autopoiesi), ma emerge sempre dalla relazione con altri sistemi.",Donna J. Haraway,Chthulucene: Sopravvivere su un pianeta infetto,89-142,"NERO, Roma 2019",Introduzione,,"### Simpoiesi (creare-con)<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Donna J. Haraway]]<br><br>**Concetti Chiave:** Simpoiesi, Autopoiesi, Creazione Collettiva<br><br>La ""simpoiesi"" (creare-con) è un processo collettivo di produzione in cui nessun sistema si crea da solo, ma emerge sempre dalla relazione con altri sistemi, in opposizione all'autopoiesi (creare-da-sé) .<br><br>> *La simpoiesi [...] è un termine adeguato per designare i sistemi complessi, dinamici, reattivi, situati che costituiscono i viventi terrestri*[cite: 50, 82].<br><br>**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, pp. 89-142"
Diffrazione come metodologia,"La ""diffrazione"" come modello ottico e metodologico alternativo alla riflessione. La diffrazione non produce copie, ma pattern di interferenza che registrano gli effetti delle differenze.",Karen Barad,Meeting the Universe Halfway,"71-72, 88-90","Duke University Press, 2007",Introduzione,,"### Diffrazione come metodologia<br><br>**Sezione:** [[Introduzione]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Diffrazione, Metodologia, Riflessione, Differenza<br><br>La ""diffrazione"" è un modello metodologico alternativo alla riflessione[cite: 368]. A differenza della riflessione, non produce copie ma pattern di interferenza che registrano gli effetti delle differenze, rendendola uno strumento per leggere i fenomeni in modo relazionale e non oppositivo [cite: 369].<br><br>> *Propongo che la diffrazione, piuttosto che la riflessione, fornisca un modello per pensare insieme la relazionalità, la responsabilità e la materialità... La diffrazione non mostra dove si trovano le differenze, ma dove emergono gli effetti della differenza*[cite: 6].<br><br>**Fonte:** Meeting the Universe Halfway, pp. 71-72, 88-90"
