Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
Filosofia come trasformazione del reale,"Parafrasi della Tesi 11 su Feuerbach di Marx, centrale nella critica di Fisher all'impotenza politica contemporanea, che sposta il focus della filosofia dalla comprensione alla trasformazione del mondo.",Karl Marx,Tesi su Feuerbach,Tesi 11,,3.0 Trasformare la normatività,"### Filosofia come trasformazione del reale<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Karl Marx]]<br><br>**Concetti Chiave:** Filosofia, Trasformazione, Prassi<br><br>""La filosofia ha sempre cercato di comprendere il reale è arrivato il momento di cambiarlo"". Parafrasi della Tesi 11 su Feuerbach di K. Marx, centrale nella critica di Fisher all'impotenza politica contemporanea.<br><br>> *I filosofi hanno solo interpretato il mondo in modi diversi; si tratta però di trasformarlo.*<br><br>**Fonte:** Tesi su Feuerbach"
"Capitalismo come apparato ""terraformante""","Analisi che unisce il ""realismo capitalista"" (Fisher) con la de-territorializzazione (Deleuze & Guattari) e lo ""spirito del capitalismo"" (Weber) per descrivere come il capitalismo assoggetti ogni cosa alla propria logica.","Mark Fisher, Gilles Deleuze & Félix Guattari, Max Weber",Realismo capitalista / Mille Piani / L'etica protestante e lo spirito del capitalismo,,,3.0 Trasformare la normatività,"### Capitalismo come apparato ""terraformante""<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Mark Fisher]], [[Gilles Deleuze]], [[Félix Guattari]], [[Max Weber]]<br><br>**Concetti Chiave:** Realismo Capitalista, De-territorializzazione, Gabbia d'acciaio<br><br>Questa analisi unisce il concetto di ""realismo capitalista"" di M. Fisher con quello di Deleuze e Guattari, per i quali il capitalismo è un apparato sociale che de-territorializza e ri-territorializza ogni flusso, e con l'analisi storica di M. Weber sullo ""spirito del capitalismo"" come ""gabbia d'acciaio"".<br><br>> *Il realismo capitalista [...] è più simile a un’atmosfera pervasiva, che condiziona non solo la produzione culturale ma anche il lavoro e l’educazione* (Fisher).<br><br>**Fonte:** Realismo capitalista / Mille Piani / L'etica protestante"
Normatività diffrattiva,"L'idea di una norma ""diffrattiva"", ""indeterminata"" e ""co-costituita"" che si oppone al modello classico di una legge imposta dall'alto, validando le necessità della materialità intra-attiva di un preciso momento storico.",Karen Barad,Meeting the Universe Halfway,,,3.0 Trasformare la normatività,"### Normatività diffrattiva<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Normatività, Diffrazione, Indeterminazione<br><br>Gli schemi descrittivi di una società dovrebbero co-costituirsi in modo diffrazionale in un'indeterminazione temporale che validi le necessità della materialità intra-attiva di quel preciso momento storico. Questo non dovrà costituire una nuova norma sociale, ma rimanere in attesa di una nuova necessità trasformativa.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Meeting the Universe Halfway"
"I ""mostri"" come via di fuga dalla norma","La figura del ""mostro"" in Haraway come via di fuga dalla normatività, rappresentando identità impure e ""inappropriate"" che sfidano le categorie binarie e aprono a nuove politiche affermative.",Donna J. Haraway,Le promesse dei mostri,,"DeriveApprodi, 2019",3.0 Trasformare la normatività,"### I ""mostri"" come via di fuga dalla norma<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Donna J. Haraway]]<br><br>**Concetti Chiave:** Mostro, Norma, Politica Affermativa, Alterità<br><br>L'ontologia prodotta dalla norma compromette la possibilità di immaginare nuove formalità. La figura del ""mostro"" in Haraway rappresenta una via di fuga, sfidando le categorie normative e binarie per una politica affermativa dell'alterità.<br><br>> *le promesse dei mostri sono la possibilità di sopravvivenza. La prole inappropriata/ta del militarismo, del patriarcato, del colonialismo e del capitalismo promette di essere potentemente infedele ai propri padri.*<br><br>**Fonte:** Le promesse dei mostri"
Biopotere e disciplina dei corpi,"Il concetto di un potere che non si limita a reprimere ma gestisce e ""addestra"" i corpi e le vite è centrale nell'analisi di Foucault sulla ""disciplina"", producendo soggettività funzionali.",Michel Foucault,Sorvegliare e punire,153-194,,3.0 Trasformare la normatività,"### Biopotere e disciplina dei corpi<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Michel Foucault]]<br><br>**Concetti Chiave:** Biopotere, Disciplina, Norma, Corpo<br><br>La norma rappresenta una forma di biopotere che produce soggettività e governa i meccanismi vitali. Questo potere non si limita a reprimere ma gestisce e ""addestra"" i corpi e le vite, come analizzato da Foucault.<br><br>> *Il potere disciplinare [...] è un potere che, invece di prelevare e di ritirare, ha per funzione principale quella di “addestrare”; o senza dubbio di addestrare per ritirare e prelevare ancora di più e meglio.*<br><br>**Fonte:** Sorvegliare e punire, pp. 153-194"
Capitalismo e flussi del desiderio,"La ""macchina capitalista"" funziona decodificando i flussi e privatizzando il desiderio, legandolo alla produzione di un soggetto nevrotico e individualizzato. La ""schizofrenia"" come processo rappresenta la linea di fuga.",Gilles Deleuze & Félix Guattari,L'Anti-Edipo,19,,3.0 Trasformare la normatività,"### Capitalismo e flussi del desiderio<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]<br><br>**Concetti Chiave:** Capitalismo, Desiderio, Schizoanalisi, Corpo senza Organi<br><br>La normatività vuole una visione del mondo iper-individualista. Per Deleuze e Guattari, la ""macchina capitalista"" funziona decodificando i flussi e privatizzando il desiderio, legandolo alla produzione di un soggetto nevrotico e individualizzato.<br><br>> *Il corpo senza organi è un uovo. È attraversato da assi e soglie, da latitudini, longitudini e geodetiche, attraversato da gradienti che segnano i divenire e i passaggi, le destinazioni dello sperimentatore.*<br><br>**Fonte:** L'Anti-Edipo, p. 19"
Pedagogia impegnata e trasformazione,"Critica a un'educazione che evita di affrontare le questioni reali (razzismo, sessismo). L'aula deve connettere la teoria alla pratica vissuta per ""trasgredire"" e trasformare le strutture di dominio.",bell hooks,Insegnare a trasgredire. L'educazione come pratica della libertà,59-71,,3.0 Trasformare la normatività,"### Pedagogia impegnata e trasformazione<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[bell hooks]]<br><br>**Concetti Chiave:** Pedagogia Critica, Trasgressione, Pratica Liberatoria<br><br>bell hooks critica un'educazione che evita di affrontare le questioni scottanti della vita reale (razzismo, sessismo, violenza). Per lei, l'aula deve essere un luogo in cui la teoria si connette alla pratica vissuta per ""trasgredire"" e trasformare le strutture di dominio.<br><br>> *L'educazione come pratica della libertà è un modo di insegnare che chiunque può imparare. È un processo che ci porta da un luogo all'altro, che ci permette di crescere e cambiare.*<br><br>**Fonte:** Insegnare a trasgredire, pp. 59-71"
"L'""atto"" politico come rottura radicale","Un vero ""atto"" politico non è una semplice protesta, ma una rottura radicale che cambia le coordinate del possibile, un evento quasi miracoloso che sospende la causalità ordinaria.",Slavoj Žižek,Ateismo cristiano,49-53,,3.0 Trasformare la normatività,"### L'""atto"" politico come rottura radicale<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Slavoj Žižek]]<br><br>**Concetti Chiave:** Atto politico, Rottura, Reale, Antagonismo<br><br>Žižek analizza la paralisi dell'immaginario come un effetto dell'ideologia dominante. Un vero ""atto"" politico non è una semplice protesta, ma una rottura radicale che cambia le coordinate del possibile, un evento quasi miracoloso che sospende la causalità ordinaria.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Ateismo cristiano, pp. 49-53"
Queer come politica di messa in discussione,"Il termine ""Queer"" non si riferisce solo all'identità sessuale, ma a una politica che sfida attivamente ogni forma di normalizzazione attraverso una messa in discussione radicale delle norme.",Collettivo Ippolita,Lessico del Transfemminismo Queer,19,,3.0 Trasformare la normatività,"### Queer come politica di messa in discussione<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Collettivo Ippolita]]<br><br>**Concetti Chiave:** Queer, Normatività, Transfemminismo<br><br>Il termine ""Queer"", in questo contesto, non si riferisce solo all'identità sessuale, ma a una politica che sfida attivamente ogni forma di normalizzazione. È una ""teoria e una pratica di messa in discussione radicale delle norme che regolano la società"".<br><br>> *Queer è una teoria e una pratica di messa in discussione radicale delle norme che regolano la società, a partire da quelle che definiscono il genere e la sessualità.*<br><br>**Fonte:** Lessico del Transfemminismo Queer, p. 19"
Pratiche di trasformazione nomade,"L'elenco di pratiche (""Diventare Queer"", ""individualità nomade"") come diretta applicazione della strategia politica affermativa di Rosi Braidotti, basata sul ""divenire-minoritario"".",Rosi Braidotti,Nomadic Theory,,,3.0 Trasformare la normatività,"### Pratiche di trasformazione nomade<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Pensiero Nomade, Queer, Divenire Minoritario, Politica Affermativa<br><br>Diventare Queer, supportare le differenze positive delle (s)oggettività, alimentare la narrazione di un'individualità nomade costituisce un primo passo per trasformare la normatività. Queste pratiche sono un'applicazione della strategia politica affermativa di Rosi Braidotti, basata sul ""divenire-minoritario"".<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Nomadic Theory"
Rottura non-oppositiva e onto-epistemologia,"La proposta di una ""rottura non-oppositiva"" (Braidotti, Barad) che non sia uno schema dualistico, ma una frattura che permetta di costruire un'onto-epistemologia che si co-costituisca intra-attivamente.",Karen Barad,Meeting the Universe Halfway,185,,3.0 Trasformare la normatività,"### Rottura non-oppositiva e onto-epistemologia<br><br>**Sezione:** [[Trasformare la normatività]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Rottura, Onto-epistemologia, Intra-azione, Dualismo<br><br>Per trasformare il contesto bisogna operare una rottura, intesa non come schema oppositivo/dualistico dalla precedente norma, ma come frattura che può permetterci di 'spezzettare' la realtà normativa e di conseguenza costruire un’onto-epistemologia che si co-costituisca intra-attivamente.<br><br>> *Ciò di cui abbiamo bisogno è qualcosa come un'etico-onto-epistemologia, un apprezzamento dell'intreccio tra etica, sapere ed essere.*<br><br>**Fonte:** Meeting the Universe Halfway, p. 185"
