Titolo_Nota_Atomica,Testo_Nota,Autore_Citato,Opera_Citata,Pagine_Riferimento,Edizione_Riferimento,Sezione_Riferimento,Nota_Markdown
Documentazione come intra-azione,"Ogni atto di documentazione non è mai passivo, ma è un'""intra-azione"" che co-costituisce il fenomeno stesso che viene registrato, modificando ciò che registra.",Karen Barad,Meeting the Universe Halfway,,,4.1 Il valore della documentazione...,"### Documentazione come intra-azione<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Karen Barad]]<br>**Concetti Chiave:** Documentazione, Intra-azione, Co-costruzione<br><br>La documentazione non assume la forma di registro passivo, ma è parte integrante dell'entanglement. Fissare il fenomeno è un atto intra-attivo che modifica ciò che registra e fornisce la possibilità di generare nuove configurazioni discorsive.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Meeting the Universe Halfway"
Decostruzione dell'autorità etnografica,"Critica all'etnografia classica che, presentandosi come trascrizione oggettiva, nasconde il suo carattere di ""finzione"" (qualcosa di costruito), esercitando una forma di violenza epistemica.",James Clifford,"The Predicament of Culture: Twentieth-Century Ethnography, Literature, and Art",,"Harvard University Press, 1988",4.1 Il valore della documentazione...,"### Decostruzione dell'autorità etnografica<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[James Clifford]]<br><br>**Concetti Chiave:** Etnografia, Autorità, Finzione, Violenza Epistemica<br><br>Le prime descrizioni antropologiche erano filtrate dai preconcetti del documentatore. Clifford decostruisce questa modalità, mostrando come l'autorità dell'etnografo sia una costruzione retorica e come la scrittura etnografica sia una ""finzione"" (qualcosa di costruito).<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** The Predicament of Culture"
Sapere situato e critica all'oggettività,"Critica a un sapere apparentemente oggettivo, ma in realtà prodotto da una prospettiva specifica e dominante. La conoscenza è sempre ""situata"" (situated knowledge).",Donna J. Haraway,Le promesse dei mostri,,"DeriveApprodi, 2019",4.1 Il valore della documentazione...,"### Sapere situato e critica all'oggettività<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Donna J. Haraway]]<br><br>**Concetti Chiave:** Sapere Situato, Oggettività, Femminismo, Posizionalità<br><br>Generare documentazione priva delle distorsioni normative è complesso. Questa critica a un sapere apparentemente oggettivo, ma in realtà prodotto da una prospettiva specifica e dominante, è il nucleo del concetto di ""sapere situato"" di Haraway.<br><br>> *le promesse dei mostri sono la possibilità di sopravvivenza. La prole inappropriata/ta del militarismo, del patriarcato, del colonialismo e del capitalismo promette di essere potentemente infedele ai propri padri.*<br><br>**Fonte:** Le promesse dei mostri"
Documentazione come portfolio multimodale (PaR),"La necessità di creare un ""portfolio di prove"" multimodale (foto, video, dati) che catturi la complessità del processo pratico per rendere il sapere tacito e incarnato accessibile alla riflessione critica.",Robin Nelson,Practice as Research in the Arts and Beyond,129-132,"Palgrave Macmillan, 2022",4.1 Il valore della documentazione...,"### Documentazione come portfolio multimodale (PaR)<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Robin Nelson]]<br><br>**Concetti Chiave:** Documentazione, Portfolio di Prove, PaR, Sapere Tacito<br><br>Questa concezione della documentazione come parte integrante e attiva del processo di ricerca è centrale nella metodologia della Pratica-come-Ricerca (PaR). Robin Nelson sostiene la necessità di creare un ""portfolio di prove"" multi-modale per catturare la complessità del processo.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Practice as Research in the Arts and Beyond, pp. 129-132"
Documentazione come pratica etica e politica (Sintesi),"Riconcettualizzazione della documentazione come: un'""intra-azione"" (Barad); uno strumento per rompere la ""crononormatività"" (Fisher, Freeman); e una pratica di posizionamento etico che genera ""beni comuni"" (Braidotti, Mollona).","Karen Barad, Mark Fisher, Elizabeth Freeman, Rosi Braidotti, Mao Mollona",,,,4.1 Il valore della documentazione...,"### Documentazione come pratica etica e politica (Sintesi)<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Karen Barad]], [[Mark Fisher]], [[Elizabeth Freeman]], [[Rosi Braidotti]], [[Mao Mollona]]<br><br>**Concetti Chiave:** Documentazione, Etica, Politica, Crononormatività, Art Commons<br><br>Questa riconcettualizzazione della documentazione unisce tre prospettive: è un''intra-azione' (Barad), uno strumento per rompere la 'crononormatività' (Fisher, Freeman), e una pratica di posizionamento etico che genera 'beni comuni' (Braidotti, Mollona).<br><br>> **Nota:** Nota concettuale di sintesi, non legata a una singola pagina.<br><br>**Fonte:** -"
Documentazione contro la crononormatività,"La documentazione come strumento per rompere la linearità del tempo e ""lesionare la dipendenza dal presente funzionale"", una strategia di resistenza alla ""crononormatività"" capitalista descritta da Fisher.",Mark Fisher,Realismo capitalista,,"NERO, Roma 2017",4.1 Il valore della documentazione...,"### Documentazione contro la crononormatività<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Mark Fisher]]<br><br>**Concetti Chiave:** Documentazione, Crononormatività, Resistenza<br><br>La potentia della documentazione sfida la crononormatività lineare. Documentare una pratica può lesionare la dipendenza dal presente funzionale, producendo tempi divergenti. È una strategia di resistenza alla ""crononormatività"" capitalista descritta da Fisher.<br><br>> *La lenta cancellazione del futuro è stata accompagnata da una deflazione delle aspettative.*<br><br>**Fonte:** Realismo capitalista"
Documentazione e posizionalità etica,"L'enfasi sulla ""posizionalità"" e sulla ""responsabilità etica"" del ricercatore/documentatore è un principio cardine della conoscenza situata femminista, centrale nel pensiero nomade di Braidotti.",Rosi Braidotti,Nomadic Theory,,"Columbia University Press, New York 2011",4.1 Il valore della documentazione...,"### Documentazione e posizionalità etica<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Posizionalità, Responsabilità Etica, Conoscenza Situata<br><br>Documentare aiuta a comprendere la posizionalità e la responsabilità etica nel progetto. Rende visibile chi sei e dove ti collochi. L'enfasi sulla ""posizionalità"" è un principio cardine del pensiero nomade di Braidotti.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Nomadic Theory"
"Pratiche artistiche come ""tagli agenziali""","Le pratiche artistiche e laboratoriali sono intrinsecamente politiche. Sono ""tagli agenziali"" che partecipano alla materializzazione del mondo, rendendoci responsabili dei ""segni sui corpi"" che producono.",Karen Barad,Meeting the Universe Halfway,"178, 185",,4.1 Il valore della documentazione...,"### Pratiche artistiche come ""tagli agenziali""<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Karen Barad]]<br><br>**Concetti Chiave:** Taglio Agenziale, Politica, Responsabilità, Etico-onto-epistemologia<br><br>La pratica artistica diventa politicamente responsabile. Secondo Barad, ogni pratica è un'""intra-azione"" e un ""taglio agenziale"" che partecipa alla materializzazione del mondo, rendendoci responsabili dei ""segni sui corpi"" che produciamo.<br><br>> *Siamo responsabili dei tagli che contribuiamo a mettere in atto [...] perché siamo una parte agenziale del divenire materiale dell'universo.*<br><br>**Fonte:** Meeting the Universe Halfway, pp. 178, 185"
Documentazione come bene comune,"Seguendo l'input di ""Art/commons"", documentare genera beni comuni discorsivi, aperti, ricombinabili e non-ermetici.",Mao Mollona,Art and the Commons: A Pre-and-Post-History,,"Afterall, London 2018",4.1 Il valore della documentazione...,"### Documentazione come bene comune<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Mao Mollona]]<br><br>**Concetti Chiave:** Documentazione, Bene Comune, Art Commons<br><br>La documentazione trasforma il processo in pratica comune non-ermetica. Seguendo l'input di ""Art/commons"": documentare genera beni comuni discorsivi, aperti e ricombinabili.<br><br>> **Nota:** Il libro non è stato fornito, la citazione testuale non può essere inserita.<br><br>**Fonte:** Art and the Commons"
Documentazione come compostaggio intellettuale,"Visione della documentazione come ""materia teorica, contaminata e vulnerabile"" che può ""rigenerarsi"" in nuovi contesti, unendo l'ontologia materiale di Barad con l'etica nomade di Braidotti.",Karen Barad & Rosi Braidotti,,,,4.1 Il valore della documentazione...,"### Documentazione come compostaggio intellettuale<br><br>**Sezione:** [[Il valore della documentazione per le pratiche discorsive]]<br>**Autori:** [[Karen Barad]], [[Rosi Braidotti]]<br><br>**Concetti Chiave:** Documentazione, Compost, Vulnerabilità, Rigenerazione<br><br>Compostare significa lasciare che il documento decada e si rigeneri in contesti diversi. Questa visione della documentazione come ""materia teorica, contaminata e vulnerabile"" unisce l'ontologia materiale di Barad con l'etica nomade di Braidotti.<br><br>> **Nota:** Nota concettuale di sintesi, non legata a una singola pagina.<br><br>**Fonte:** -"
