"Titolo_Nodo_Domanda","Capitolo_Associato"
"Come è possibile non solo resistere, ma generare qualcosa di radicalmente nuovo?","Manifesto per un Pianeta Infetto – La Praxis del Compost"
"Come si può coltivare un'alternativa in un pianeta infetto?","Manifesto per un Pianeta Infetto – La Praxis del Compost"
"Ad esempio, anche nella realizzazione di un prodotto scultoreo, è possibile considerare il solo apporto umano come valido per la creazione empirica del prodotto? Gli strumenti utilizzati non concorrono, insieme alla ratio umana che li governa, alla creazione del progetto? Le influenze estetiche/concettuali dalle quali nasce il progetto non ne fanno parte? È possibile uscire definitivamente da una dinamica di rappresentazionalista entro la quale gli oggetti e gli strumenti non hanno un’agency e non concorrono alla concretizzazione materiale di un pensiero?","L'anti-rappresentazione"
"Ma quali strumenti creano la misurazione delle pratiche artistiche? Nel caso della particella è chiaro dalla distinzione netta delle funzioni dell’apparecchio di misurazione, ma nel caso di un progetto artistico rimane applicabile questa nozione? Gli eventuali dati ""freddi"" raccolti, ad esempio attraverso diversi sensori, offriranno una condizione complementare alla lettura poetica del fenomeno performativo o avvalleranno il comparto poetico/emotivo?","L'anti-rappresentazione"
"Infondo, le politiche democratiche non dovrebbero rappresentare quello che è lo status sociale della popolazione?","L'indeterminazione"
"È possibile allora lesionare questa stasi accogliendo la contaminazione e l'ascolto per trasformare il vuoto indeterminato in una potentia affermativa che ricostruisca il collettivo?","L'indeterminazione"
"Quali sono le soggettività e le pratiche discorsive che ne determinano l’utilizzo? È parte di una spinta evolutiva? Rischia di appiattire il raziocinio umano attraverso la sostituzione lavorativa, sia manuale che intellettuale? È uno strumento per la ricerca di soluzioni o è la soluzione? In che modo e quanto dovremmo investire sull’innovazione tecnologica? Può essere parte dei fenomeni performativi anti-rappresentativi, concorrendo alla formazione della materialità delle pratiche?","L'indeterminazione"
"L’intra-azione come può rimodellare le pratiche artistiche? Riformare il rapporto inter-(s)oggettivo che intratteniamo con gli altri attori coinvolti, in che modo trasformerà le pratiche? Può l’ontologia dell’entanglement rimodellare l’epistemologia con cui approcciamo all’arte? Se sì, che iter dovrebbe seguire questa trasformazione? In che dimensione etica dovremmo canalizzare questa trasformazione?","L'entanglement e l'intra-azione"
"Macro e micro sono dimensioni ontologiche separate? Essendo una invisibile all’altra, possiamo separarle ontologicamente? O bisogna tenere sempre conto della loro profonda connessione?","Macro e micro- l’intra-azione nel locale"
"Come è possibile sfruttare al meglio questa eventuale consapevolezza di mutua costituzione?","Macro e micro- l’intra-azione nel locale"
"Partendo da questa consapevolezza, possiamo definire che le attività quotidiane diventano così luoghi di negoziazione sovra-locali?","Macro e micro- l’intra-azione nel locale"
"Porre scissioni che agevolino l’analisi delle dimensioni può generare confusione ontologica ed epistemologica? Come possiamo costruire una intra-azione che possa trasformare attivamente la contemporaneità partendo dal locale?","Macro e micro- l’intra-azione nel locale"
"Un lavoro collettivo nel locale può effettivamente modellare la quotidianità nonostante questa collettività non possa essere utopicamente omnicomprensiva? A fronte delle analisi fatte, l'intra-azione locale è effettivamente la dimensione della possibilità trasformativa della politica?","Macro e micro- l’intra-azione nel locale"
"È uno strumento di resistenza a quelle forze che pretendono che il mondo, guardando al passato, appaia statico piuttosto che con un occhio che cerca una trasformazione futura?","Macro e micro- l’intra-azione nel locale"
"Ma che strade tracciare localmente? Quali sono i possibili spazi dove il potenziale del vuoto presente può generare una scintilla di energia che ci proietti in un futuro più consapevole?","Macro e micro- l’intra-azione nel locale"
"La temporalità è l’unità di misura che governa l’universo, compresa la dimensione spaziale; ma questa temporalità è effettivamente universalmente riconosciuta?","Gli echi della performatività"
