"Titolo_Nota_Atomica","Testo_Nota","Autore_Citato","Opera_Citata","Pagine_Riferimento","Edizione_Riferimento","Sezione_Riferimento","Nota_Markdown"
"Intra-azione come concetto fondamentale","L'intra-azione, in opposizione alla più comune 'interazione', è il concetto centrale del Realismo Agenziale. Non descrive una relazione tra due entità preesistenti, ma il processo attraverso cui le entità stesse emergono e si costituiscono reciprocamente.","Karen Barad","Meeting the Universe Halfway","139","","Intra-azione diffrazionale","### Intra-azione come concetto fondamentale

**Sezione:** [[Intra-azione diffrazionale]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Intra-azione, Realismo Agenziale, Onto-epistemologia

L'intra-azione, in opposizione alla più comune 'interazione', è il concetto centrale del Realismo Agenziale. Non descrive una relazione tra due entità preesistenti, ma il processo attraverso cui le entità stesse emergono e si costituiscono reciprocamente.

> *È attraverso specifiche intra-azioni agenziali che i confini e le proprietà dei componenti di un fenomeno diventano determinati e che particolari concetti (cioè particolari articolazioni materiali del mondo) diventano significativi.*

**Fonte:** Meeting the Universe Halfway, p. 139"
"Diffrazione come metodologia","Barad propone la diffrazione come alternativa metodologica alla riflessione. Mentre la riflessione cerca un'immagine speculare di una realtà preesistente, la diffrazione è un processo di interferenza che produce pattern di differenza.","Karen Barad","Meeting the Universe Halfway","71-72","","Intra-azione diffrazionale","### Diffrazione come metodologia

**Sezione:** [[Intra-azione diffrazionale]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Diffrazione, Metodologia, Rappresentazionalismo

Barad propone la diffrazione come alternativa metodologica alla riflessione. Mentre la riflessione cerca un'immagine speculare di una realtà preesistente, la diffrazione è un processo di interferenza che produce pattern di differenza.

> *Propongo che la diffrazione, piuttosto che la riflessione, fornisca un modello per pensare insieme la relazionalità, la responsabilità e la materialità... La diffrazione non mostra dove si trovano le differenze, ma dove emergono gli effetti della differenza.*

**Fonte:** Meeting the Universe Halfway, pp. 71-72"
"Le pratiche di conoscenza sono impegni materiali","Secondo il realismo agenziale, conoscere non è un'attività astratta, ma una pratica materiale che partecipa alla (ri)costruzione del mondo, dandogli una forma materiale specifica.","Karen Barad","Meeting the Universe Halfway","91","","Intra-azione diffrazionale","### Le pratiche di conoscenza sono impegni materiali

**Sezione:** [[Intra-azione diffrazionale]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Onto-epistemologia, Materialità, Pratiche di conoscenza

Secondo il realismo agenziale, conoscere non è un'attività astratta, ma una pratica materiale che partecipa alla (ri)costruzione del mondo, dandogli una forma materiale specifica.

> *Il punto non è solo che le pratiche di conoscenza hanno conseguenze materiali, ma che le pratiche di conoscenza sono impegni materiali specifici che partecipano alla (ri)costruzione del mondo... Fare conoscenza... significa impegnarsi materialmente come parte del mondo, dandogli una forma materiale specifica.*

**Fonte:** Meeting the Universe Halfway, p. 91"
"Realismo Capitalista come orizzonte unico","Mark Fisher definisce il 'realismo capitalista' come la pervasiva sensazione che il capitalismo non sia solo l'unico sistema politico ed economico possibile, ma che sia ormai impossibile persino immaginare un'alternativa coerente ad esso.","Mark Fisher","Realismo Capitalista","40","","La Diffrazione","### Realismo Capitalista come orizzonte unico

**Sezione:** [[La Diffrazione]]
**Autori:** [[Mark Fisher]]

**Concetti Chiave:** Realismo Capitalista, Capitalismo, Ideologia

Mark Fisher definisce il 'realismo capitalista' come la pervasiva sensazione che il capitalismo non sia solo l'unico sistema politico ed economico possibile, ma che sia ormai impossibile persino immaginare un'alternativa coerente ad esso.

> *Il realismo capitalista... è più simile a un’atmosfera pervasiva, che condiziona non solo la produzione culturale ma anche il lavoro e l’educazione, e che agisce come una sorta di barriera invisibile che limita il pensiero e l’azione.*

**Fonte:** Realismo Capitalista, p. 40"
"Simpoiesi e Making Kin come pratiche di sopravvivenza","Haraway propone la 'simpoiesi' (creare-con) come alternativa all''autopoiesi', per descrivere come ogni entità si formi sempre in relazione con altre. Da questo deriva l'etica del 'making kin' (generare parentele), ovvero la necessità di creare nuove alleanze multispecie per sopravvivere insieme.","Donna J. Haraway","Chthulucene: Sopravvivere su un pianeta infetto","119","","La Diffrazione","### Simpoiesi e Making Kin come pratiche di sopravvivenza

**Sezione:** [[La Diffrazione]]
**Autori:** [[Donna J. Haraway]]

**Concetti Chiave:** Simpoiesi, Making Kin, Chthulucene, Sopravvivenza

Haraway propone la 'simpoiesi' (creare-con) come alternativa all''autopoiesi', per descrivere come ogni entità si formi sempre in relazione con altre. Da questo deriva l'etica del 'making kin' (generare parentele), ovvero la necessità di creare nuove alleanze multispecie per sopravvivere insieme.

> *Simpoiesi è una parola adatta per indicare i sistemi complessi, dinamici, reattivi, situati... Non possiamo fare da soli. Ci facciamo-con a vicenda o non ci facciamo affatto.*

**Fonte:** Chthulucene: Sopravvivere su un pianeta infetto, p. 119"
"Rizoma come modello di pensiero non-gerarchico","Deleuze e Guattari introducono il 'rizoma' come modello di pensiero non-gerarchico, acentrico e basato su connessioni multiple, in opposizione al modello lineare dell''albero-radice'.","Gilles Deleuze & Félix Guattari","Mille Piani","36-37","","La Diffrazione","### Rizoma come modello di pensiero non-gerarchico

**Sezione:** [[La Diffrazione]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Rizoma, Pensiero Arborescente, Molteplicità

Deleuze e Guattari introducono il 'rizoma' come modello di pensiero non-gerarchico, acentrico e basato su connessioni multiple, in opposizione al modello lineare dell''albero-radice'.

> *Un rizoma non comincia e non finisce, è sempre nel mezzo, tra le cose, inter-essere, intermezzo... La molteplicità, non ce la si fa con l'Uno che si aggiunge (n+1). La si fa, al contrario, sottraendo sempre l'unico dall'insieme che si costituisce.*

**Fonte:** Mille Piani, pp. 36-37"
"Critica allo 'spirito' del Capitalismo","La critica al realismo capitalista (Fisher) affonda le sue radici nello 'spirito del capitalismo' descritto da Weber: una logica che trasforma il lavoro e la produzione in una vocazione ascetica finalizzata al profitto.","Max Weber & Mark Fisher","L'etica protestante e lo spirito del capitalismo","257","","La Diffrazione","### Critica allo 'spirito' del Capitalismo

**Sezione:** [[La Diffrazione]]
**Autori:** [[Max Weber]], [[Mark Fisher]]

**Concetti Chiave:** Capitalismo, Etica Protestante, Realismo Capitalista, Razionalizzazione

La critica al realismo capitalista (Fisher) affonda le sue radici nello 'spirito del capitalismo' descritto da Weber: una logica che trasforma il lavoro e la produzione in una vocazione ascetica finalizzata al profitto.

> *Il Puritano volle essere un professionista, noi dobbiamo esserlo. Infatti, dal momento in cui l'ascesi passò dalle celle dei monaci alla vita professionale e cominciò a dominare sulla moralità laica, essa prese a contribuire con la sua parte alla costruzione di quel potente cosmo dell'ordinamento economico moderno.*

**Fonte:** L'etica protestante e lo spirito del capitalismo, p. 257"
"Arte come bene comune contro la mercificazione","La radicale trasformazione della produzione artistica consiste nello scardinarla dalle dinamiche che la intendono come l'ennesimo prodotto al servizio della 'domanda' capitalistica.","Mao Mollona","Art/Commons: Anthropology beyond Capitalism","9","","Anti-rappresentazione","### Arte come bene comune contro la mercificazione

**Sezione:** [[Anti-rappresentazione]]
**Autori:** [[Mao Mollona]]

**Concetti Chiave:** Art Commons, Mercificazione, Capitalismo, Neoliberismo

La radicale trasformazione della produzione artistica consiste nello scardinarla dalle dinamiche che la intendono come l'ennesimo prodotto al servizio della 'domanda' capitalistica. Per Mollona, l'arte deve resistere alla sua cooptazione da parte della logica neoliberale per diventare un 'bene comune' (commons) basato sulla relazione e la pratica collettiva.

> *L'arte, in questo contesto [neoliberale], diventa uno strumento di valorizzazione e accumulazione del capitale. [...] Le pratiche artistiche che si concentrano sull'estetica relazionale, sulla partecipazione e sulla collaborazione vengono spesso cooptate e neutralizzate.*

**Fonte:** Art/Commons: Anthropology beyond Capitalism, p. 9"
"Il referente come fenomeno","Una condizione per la conoscenza oggettiva è che il referente sia un fenomeno (e non un oggetto indipendente dall'osservazione). Questo cambiamento nella referenzialità è una condizione per la possibilità della conoscenza oggettiva.","Karen Barad","Meeting the Universe Halfway","198","","La Materia","### Il referente come fenomeno

**Sezione:** [[La Materia]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Fenomeno, Oggettività, Rappresentazionalismo

Una condizione per la conoscenza oggettiva è che il referente sia un fenomeno (e non un oggetto indipendente dall'osservazione). Questo cambiamento nella referenzialità è una condizione per la possibilità della conoscenza oggettiva.

> *In breve, una condizione per la conoscenza oggettiva è che il referente sia un fenomeno (e non un oggetto indipendente dall'osservazione).*

**Fonte:** Meeting the Universe Halfway, p. 198"
"Materia come agente vivo","La materia non è inerme né attende la plasmabilità umana: è duttile e malleabile anche da altri (s)oggetti coinvolti nelle intra-azioni. È un (s)oggetto vivo al pari del mondo che chiamiamo 'animato'.","Karen Barad","Meeting the Universe Halfway","177","","La Materia","### Materia come agente vivo

**Sezione:** [[La Materia]]
**Autori:** [[Karen Barad]]

**Concetti Chiave:** Materia, Agency, Antropocentrismo

La materia non è inerme né attende la plasmabilità umana: è duttile e malleabile anche da altri (s)oggetti coinvolti nelle intra-azioni. È un (s)oggetto vivo al pari del mondo che chiamiamo 'animato'.

> *L'esuberanza del mondo, la sua esuberante creatività, non può mai essere contenuta o sospesa. L'agency non finisce mai; non può mai 'esaurirsi'.*

**Fonte:** Meeting the Universe Halfway, p. 177"
